CommentNo,Comment,Category
360,"Store employee",Retail Sales Worker
361,"Sales associate",Retail Sales Worker
362,"Cashier",Retail Sales Worker
363,"Shopkeeper",Retail Sales Worker
364,"Retail attendant",Retail Sales Worker
365,"Store staff",Retail Sales Worker
366,"Fast food worker",Food Service Worker
367,"Restaurant server",Food Service Worker
368,"Waiter/waitress",Food Service Worker
369,"Cafe employee",Food Service Worker
370,"Kitchen staff",Food Service Worker
371,"Food server",Food Service Worker
372,"Cafeteria worker",Food Service Worker
373,"Line cook",Food Service Worker
374,"Bartender",Food Service Worker
375,"Barista",Food Service Worker
376,"Cleaner",Janitor
377,"Custodian",Janitor
378,"Janitorial staff",Janitor
379,"Building cleaner",Janitor
380,"Maintenance worker",Janitor
381,"Sanitation worker",Janitor
382,"Facility cleaner",Janitor
383,"Office cleaner",Janitor
384,"Housekeeping staff",Janitor
385,"Sweeper",Janitor
386,"Farm laborer",Farmworker
387,"Agricultural worker",Farmworker
388,"Crop picker",Farmworker
389,"Field hand",Farmworker
390,"Farmhand",Farmworker
391,"Harvest worker",Farmworker
392,"Farm labor worker",Farmworker
393,"Orchard worker",Farmworker
394,"Livestock handler",Farmworker
395,"Ranch hand",Farmworker
396,"Security officer",Security Guard
397,"Guard",Security Guard
398,"Security personnel",Security Guard
399,"Security agent",Security Guard
400,"Security staff",Security Guard
401,"Watchman",Security Guard
402,"Security patrol",Security Guard
403,"Safety officer",Security Guard
404,"Security sentinel",Security Guard
405,"Protective services",Security Guard
406,"Garden caretaker",Gardener
407,"Landscape worker",Gardener
408,"Yard worker",Gardener
409,"Gardening assistant",Gardener
410,"Horticulturist",Gardener
411,"Landscaper",Gardener
412,"Groundskeeper",Gardener
413,"Plant caretaker",Gardener
414,"Greenkeeper",Gardener
415,"Outdoor maintenance worker",Gardener
416,"Laundry attendant",Laundry Worker
417,"Washer",Laundry Worker
418,"Laundry helper",Laundry Worker
419,"Dry cleaner",Laundry Worker
420,"Presser",Laundry Worker
421,"Laundry operator",Laundry Worker
422,"Ironer",Laundry Worker
423,"Laundry technician",Laundry Worker
424,"Laundry service worker",Laundry Worker
425,"Garment cleaner",Laundry Worker
426,"Construction worker",Construction Laborer
427,"Laborer",Construction Laborer
428,"Construction site worker",Construction Laborer
429,"Building laborer",Construction Laborer
430,"Handyman",Construction Laborer
431,"Demolition worker",Construction Laborer
432,"Construction crew member",Construction Laborer
433,"Site laborer",Construction Laborer
434,"Construction helper",Construction Laborer
435,"Skilled trades assistant",Construction Laborer
436,"Chef",Cook
437,"Kitchen cook",Cook
438,"Line cook",Cook
439,"Culinary artist",Cook
440,"Short-order cook",Cook
441,"Grill cook",Cook
442,"Prep cook",Cook
443,"Sous chef",Cook
444,"Baker",Cook
445,"Pastry chef",Cook
446,"Driver",Car Driver
447,"Chauffeur",Car Driver
448,"Car operator",Car Driver
449,"Vehicle driver",Car Driver
450,"Automobile driver",Car Driver
451,"Personal driver",Car Driver
452,"Taxi driver",Car Driver
453,"Ride-hailing driver",Car Driver
454,"Car chauffeur",Car Driver
455,"Private driver",Car Driver
456,"Delivery person",Delivery Driver
457,"Courier",Delivery Driver
458,"Package deliverer",Delivery Driver
459,"Delivery driver",Delivery Driver
460,"Delivery worker",Delivery Driver
461,"Parcel carrier",Delivery Driver
462,"Food delivery driver",Delivery Driver
463,"Courier driver",Delivery Driver
464,"Route driver",Delivery Driver
465,"Transporter",Delivery Driver
466,"Call agent",Call Center Operator
467,"Customer service representative",Call Center Operator
468,"Call center representative",Call Center Operator
469,"Phone operator",Call Center Operator
470,"Helpdesk operator",Call Center Operator
471,"Service representative",Call Center Operator
472,"Call center agent",Call Center Operator
473,"Telecaller",Call Center Operator
474,"Telephone operator",Call Center Operator
475,"Support specialist",Call Center Operator
476,"Caregiver",Elderly Caregiver
477,"Elderly caregiver",Elderly Caregiver
478,"Senior care provider",Elderly Caregiver
479,"Home aide",Elderly Caregiver
480,"Personal care assistant",Elderly Caregiver
481,"Companion caregiver",Elderly Caregiver
482,"Home helper",Elderly Caregiver
483,"Elder care assistant",Elderly Caregiver
484,"Respite caregiver",Elderly Caregiver
485,"Senior companion",Elderly Caregiver
486,"Office clerk",Clerk
487,"Administrative clerk",Clerk
488,"Desk clerk",Clerk
489,"Receptionist",Clerk
490,"Data entry clerk",Clerk
491,"Clerk typist",Clerk
492,"File clerk",Clerk
493,"Front desk clerk",Clerk
494,"Office assistant",Clerk
495,"Clerk",Clerk
496,"Groomer",Pet Groomer
497,"Pet stylist",Pet Groomer
498,"Dog groomer",Pet Groomer
499,"Animal groomer",Pet Groomer
500,"Pet hairdresser",Pet Groomer
501,"Pet beautician",Pet Groomer
502,"Pet salon worker",Pet Groomer
503,"Pet care specialist",Pet Groomer
504,"Animal stylist",Pet Groomer
505,"Grooming professional",Pet Groomer
506,"Babysitter",Child Caregiver
507,"Nanny",Child Caregiver
508,"Childminder",Child Caregiver
509,"Au pair",Child Caregiver
510,"Child caregiver",Child Caregiver
511,"Daycare provider",Child Caregiver
512,"Childcare worker",Child Caregiver
513,"Preschool teacher",Child Caregiver
514,"Nursery worker",Child Caregiver
515,"Childcare assistant",Child Caregiver
516,"Production worker",Factory Worker
517,"Assembly line worker",Factory Worker
518,"Factory laborer",Factory Worker
519,"Manufacturing worker",Factory Worker
520,"Plant worker",Factory Worker
521,"Production operator",Factory Worker
522,"Machine operator",Factory Worker
523,"Factory hand",Factory Worker
524,"Production assistant",Factory Worker
525,"Line worker",Factory Worker
526,"Vendor",Street Vendor
527,"Street seller",Street Vendor
528,"Hawker",Street Vendor
529,"Street trader",Street Vendor
530,"Food vendor",Street Vendor
531,"Mobile vendor",Street Vendor
532,"Street food seller",Street Vendor
533,"Peddler",Street Vendor
534,"Cart vendor",Street Vendor
535,"Market stallholder",Street Vendor
